recordId,merchantId,merchantName,network,mainCategory,subCategory,mainCategoryCn,subCategoryCn,mainCategoryBsr,subcategoryBsr,asin
"rec27wXzrFpVoE","364622","DC HOUSE","Archer","Automotive","RV Power & Batteries","汽车用品","房车电源与电池","","",""
"rec27wXzrFq0Hb","362271","Balance of Nature","Levanta","Health & Household","Fruit & Vegetable Supplements","健康家居","果蔬营养补充剂","","",""
"rec27wXzrFpO5o","369185","Thermacell","Levanta","Sports & Outdoors","Mosquito Repellers","运动户外","户外驱蚊","","1","B07X3V8L9K"
"rec27wXzrFpPKu","380765","The Jel Sert Company","Levanta","Grocery & Gourmet Food","Popsicles & Juice Bars","食品","冷冻甜品原料","","1",""
"rec27wXzrFpX9z","380959","Chefman","Levanta","Home & Kitchen","Small Kitchen Appliances","家居","厨房小电器","","","B0DZ9VFWYN"
"rec27wXzrFpXko","363262","PROSPEK","Levanta","Health & Household","Eye Care","健康家居","眼部护理","","",""
"rec27wXzrFq1cQ","363098","Cliganic","Levanta","Beauty","Beauty","健康家居","有机护肤 / 补剂","10860","10860","B07N2K3L4M"
"rec27wXzrFq29F","363401","KAHI OFFICIAL","Levanta","Beauty & Personal Care","Skin Care","个护美妆","护肤","","","B0DDC3QGJL"
"rec27wXzrFpPzZ","362517","Ikarao","Levanta","Musical Instruments","Karaoke Portable Systems","乐器","便携式卡拉 OK 系统","469","2","B0CR1R7FKP"
"rec27wXzrFpT1r","363172","Formulation Factory","Levanta","Health & Household","Sports Nutrition Testosterone Boosters","健康家居","运动营养/功能补剂","","20",""
"rec27wXzrFpWJe","363038","Zesty Paws","Levanta","Pet Supplies","Dog Itch Remedies","宠物用品","宠物营养补剂","41","1","B07WW1WY1Z"
"rec27wXzrFq0aH","368764","ZAFRO","Archer","Appliances","Portable Air Conditioners","家用电器","便携空调","","",""
"rec27wXzrFq17w","384261","Typhur","Wayward","Home & Kitchen","Kitchen Appliances","家居","厨房电器","","",""
"rec27wXzrFq1Z0","365036","FIFINE","Archer","Musical Instruments","Microphones","乐器","麦克风","","",""
"rec27wXzrFq2ka","380936","East Oak","Levanta","Patio, Lawn & Garden","Patio Furniture","庭院 / 草坪 / 花园","户外家具","","","B0FG7D2LVF"
"rec27wXzrFpRzr","362469","ELLA BELLA","Levanta","Beauty & Personal Care","Hot-Air Hair Brushes","个护美妆","美妆工具","","23","B0D6LN1B1D"
"rec27wXzrFpLuB","363006","FlavCity","Levanta","Health & Household","Sports Nutrition Whey Protein Powders","食品","健康食品","1378","19","B0BPK32N5S"
"rec27wXzrFpNF3","363532","Livionex Dental Gel","Levanta","Health & Household","Toothpaste","个护美妆","口腔护理","544","18","B07PQYJBM3"
"rec27wXzrFpNUT","363108","HEYDUDE","Levanta","Clothing, Shoes & Jewelry","Men's Loafers & Slip-Ons","服饰","休闲鞋","738","2","B0CS31VW2V"
"rec27wXzrFpP9k","362292","PetSafe","Levanta","Pet Supplies","Dog Wireless Fences","宠物用品","宠物用品","1540","2","B0001ZWZ8O"
"rec27wXzrFpQCC","369207","Amazfit","Levanta","Electronics","Smartwatches","电子","智能手表","","28",""
"rec27wXzrFpRjh","369328","Clarifion","Levanta","Home & Kitchen","Home Air Ionizers","家居","空气净化配件","","3",""
"rec27wXzrFpXfe","362710","COZY HOMEWARE STORE","Levanta","Home & Kitchen","Home Textiles","家居","家纺","","",""
"rec27wXzrFpTSM","384651","BugMD","Levanta","Home & Kitchen","Wearable Insect & Pest Repellents","家居","害虫防治/驱虫用品","","2",""
"rec27wXzrFpNKo","381628","Honeylove Sculptwear","Levanta","Clothing, Shoes & Jewelry","Shapewear","服装鞋靴珠宝","塑身衣","","",""
"rec27wXzrFpQlY","362737","Aeocky Direct","Levanta","Home & Kitchen","Dehumidifiers","电子","数码配件","1497","5","B0D1C6HWFF"
"rec27wXzrFpWhV","362847","Innova","Levanta","Sports & Outdoors","Disc Golf","运动户外","飞盘高尔夫","","",""
"rec27wXzrFpXv4","362152","Wolf Tactical USA","Levanta","Sports & Outdoors","Tactical Backpacks","运动户外","战术装备","","156","B07X3V8L9K"
"rec27wXzrFpZcK","363370","PrettyLitter","Levanta","Pet Supplies","Cat Litter","宠物用品","猫砂","158","14","B0DWDGWDFY"
"rec27wXzrFpTXW","381624","PETRA TOOLS","Levanta","Patio, Lawn & Garden","Lawn & Garden Sprayers","花园户外","园艺喷雾器/草坪护理工具","","2",""
"rec27wXzrFpOaI","380798","Pandora","Levanta","Jewelry","Women's Snake Charm Bracelets","珠宝","女士饰品","","1",""
"rec27wXzrFpQgD","363209","BOB Gear","Levanta","Baby","Jogger Baby Strollers","母婴","婴儿推车/户外慢跑推车","","3",""
"rec27wXzrFpYMp","368498","Vivtone","Archer","Health & Household","Hearing Aids","健康家居","助听器","","",""
"rec27wXzrFpLiY","362342","Nulastin","Levanta","Beauty & Personal Care","Eye Treatment Serums","个护美妆","睫毛 / 眉毛 / 头皮护理","7305","18","B081LNKMZ2"
"rec27wXzrFpQrt","369345","Bloom","Levanta","Health & Household","Spirulina Herbal Supplements","个护美妆","护肤","819","2",""
"rec27wXzrFpRPh","362947","BOB AND BRAD US","Levanta","Health & Household","Massage Tools & Equipment","健康家居","按摩器材","","",""
"rec27wXzrFpSQW","363199","RENPHO Wellness","Levanta","Health & Household","Digital Bathroom Scales","健康家居","健康监测设备","","2",""
"rec27wXzrFpUGH","363529","Luseta Beauty","Levanta","Beauty & Personal Care","Shampoo & Conditioner Sets","个护美妆","护发用品","","15",""
"rec27wXzrFpWng","369196","Rocco & Roxie Supply Co.","Levanta","Pet Supplies","Dog Odor Removers","宠物用品","宠物清洁","32","1","B00CKFL93K"
"rec27wXzrFq0gb","384684","Hustle Butter Deluxe","Levanta","Beauty & Personal Care","Tattoo Aftercare","个护美妆","纹身护理","","",""
"rec27wXzrFpOwH","380741","Wahl Clipper Corporation","Levanta","Beauty & Personal Care","Dog Grooming Clipper Replacement Blades","个护美妆","理发工具","6097","1","B00UK8WFQO"
"rec27wXzrFpSGh","363057","grace & stella","Levanta","Beauty & Personal Care","Facial Masks","个护美妆","面膜","","","B0FJSNWNLW"
"rec27wXzrFpUM2","380787","Peach & Lily","Levanta","Beauty & Personal Care","Skin Care Sets & Kits","个护美妆","韩妆","","18",""
"rec27wXzrFpYgJ","382417","EyeVac","Wayward","Home & Kitchen","Vacuums & Floor Care","家居","吸尘器与地板护理","","",""
"rec27wXzrFq2pv","384586","Best Choice Products","Levanta","Home & Kitchen","Furniture & Home Products","家居","家具与家居用品","","",""
"rec27wXzrFpSAW","380843","CHEF iQ","Levanta","Home & Kitchen","Meat Thermometers & Timers","家居","智能厨房设备","","4","B0DZFD6R9Z"
"rec27wXzrFpMow","381054","Solawave","Levanta","Beauty & Personal Care","Acne Clearing Devices","个护美妆","面部美容仪","68038","3","B0DSPHZQ3K"
"rec27wXzrFpMYo","363457","Nomatic","Levanta","Laptop Backpacks","Laptop Backpacks","箱包","旅行包","244","244","B07782GG5T"
"rec27wXzrFpQHN","369405","Timekettle","Archer","Office Products","Electronic Foreign Language Translators","电子","AI翻译/办公出行","12616","18",""
"rec27wXzrFpR8C","380760","Momcozy Store 1","Levanta","Baby","Baby Bottle Sterilizers","母婴","母婴用品","8","1","B0DF1FDKR4"
"rec27wXzrFpREM","363486","PuroAir","Levanta","Home & Kitchen","HEPA Filter Air Purifiers","家居","空气净化器","447","5","B0998FWTHP"
"rec27wXzrFpTmW","362158","Winix","Levanta","Home & Kitchen","HEPA Filter Air Purifiers","家居","空气净化器","454","5","B0DJG1731C"
"rec27wXzrFpVtZ","363433","ColourPop Cosmetics","Levanta","Beauty & Personal Care","Makeup","个护美妆","彩妆","","",""
"rec27wXzrFpL89","362354","Aiper US","Levanta","Patio, Lawn & Garden","Robotic Pool Cleaners","庭院 / 草坪 / 花园","泳池清洁设备","1107","6","B0FJ818NNZ"
"rec27wXzrFpM2n","362738","WOLFBOX","Levanta","Electronics","Car In-Mirror Mounted Video Players","汽车用品","行车记录仪","3123","4","B0DY1GM6DR"
"rec27wXzrFpOS1","362447","Beauty by Earth","Levanta","Beauty & Personal Care","Body Self-Tanners","个护美妆","护肤","190","1","B00L2PB3BW"
"rec27wXzrFpUAT","362876","Yeedi","Levanta","Home & Kitchen","Commercial Indoor Robotic Vacuums","家居","扫地机器人","","49",""
"rec27wXzrFpVzk","380911","The California Beach Co.","Levanta","Sports & Outdoors","Beach Tents","运动户外","沙滩用品","","67","B07S37G1Q1"
"rec27wXzrFq12l","363445","Evolution Outdoor","Levanta","Sports & Outdoors","Hunting & Shooting Gear","运动户外","狩猎与射击用品","","",""
"rec27wXzrFq1E0","367099","Pete's Pasta","Archer","Grocery & Gourmet Food","Pasta","食品","意面","","",""
"rec27wXzrFpLGT","363388","KontrolFreek","Levanta","Video Games","PlayStation 4 Accessories","电子","游戏配件","29","1","B08TRMS8PS"
"rec27wXzrFpXAo","362751","California Design Den","Levanta","Home & Kitchen","Bedding","家居","床上用品","","",""
"rec27wXzrFpYH4","362938","RENPHO Group","Levanta","Health & Household","Health Monitors & Massage Equipment","健康家居","健康监测 / 按摩设备","","",""
"rec27wXzrFpZ7z","380928","DS18","Levanta","Automotive","Car Audio","汽车用品","汽车音响","","","B0B6QG9XDZ"
"rec27wXzrFq1Ov","364813","Dupray","Archer","Home & Kitchen","Steam Cleaners","家居","蒸汽清洁机","","",""
"rec27wXzrFpRUC","385513","Azuna Fresh","Levanta","Home & Kitchen","Commercial Air Fresheners","家居","空气清新/除味","","4",""
"rec27wXzrFq0lw","380894","Nixplay USA","Levanta","Electronics","Digital Picture Frames","电子","数码相框","","",""
"rec27wXzrFq0X1","384796","Nuxe","Levanta","Beauty & Personal Care","Skin Care","个护美妆","护肤","","",""
"rec27wXzrFpNeI","385281","Anua","Levanta","Beauty & Personal Care","Facial Skin Care","个护美妆","面部护肤","","",""
"rec27wXzrFpUXl","384005","Sports Research","Wayward","Health & Household","Vitamins & Dietary Supplements","健康家居","维生素与膳食补充剂","","",""
"rec27wXzrFpXpJ","362910","TRIPPED Travel Gear","Levanta","Home & Kitchen","Packing Organizers","运动户外","旅行用品","","89","B08732WW8Z"
"rec27wXzrFpYre","362137","Lifepro","Levanta","Health & Household","Exercise & Fitness Equipment","健康家居","健身器材","","",""
"rec27wXzrFpZOe","383506","PAISEEC","Wayward","Health & Household","Mobility Scooters & Wheelchairs","健康家居","行动辅助设备","","",""
"rec27wXzrFpTI6","362770","FLYBIRD","Levanta","Sports & Outdoors","Exercise & Fitness Equipment","运动户外","健身器械","","","B0F89VV2G4"
"rec27wXzrFpSqr","380681","Lebanta Haircare","Levanta","Beauty & Personal Care","Scalp Treatments","个护美妆","护发用品","","2",""
"rec27wXzrFpVjk","362247","Physician's Choice","Levanta","Health & Household","Probiotics & Personal Care","健康家居","益生菌 / 个护","","",""
"rec27wXzrFpZxU","362838","Big Horn Outdoors®","Levanta","Patio, Lawn & Garden","Grills & Outdoor Cooking","庭院 / 草坪 / 花园","烧烤炉与户外烹饪","","",""
"rec27wXzrFq1TP","362287","Beekeeper's Naturals","Levanta","Health & Household","Bee Propolis Supplements","健康家居","蜂产品补充剂","","",""
"rec27wXzrFpMuE","382157","Coop Home Goods","Wayward","Home & Kitchen","Bed Pillows","家居","睡眠寝具","","8",""
"rec27wXzrFpS5h","367394","Rev-A-Shelf","Archer","Home & Kitchen","Pull-Out Home Organizers","家居","厨房橱柜收纳/五金","","68",""
"rec27wXzrFpW1B","365296","Gaffer Power","Archer","Tools & Home Improvement","Adhesive Tapes","工具与家装","胶带","","",""
"rec27wXzrFpW7g","380717","Advanced Bionutritionals","Levanta","Health & Household","Health & Household","健康家居","草本补剂","27910","27910","B07P8Q3R4S"
"rec27wXzrFpWOp","362311","Lumineux","Levanta","Beauty & Personal Care","Oral Care","个护美妆","口腔护理","","",""
"rec27wXzrFq0r1","363654","ARCCAPTAIN","Archer","Tools & Home Improvement","Welding Equipment","工具与家装","焊接设备","","",""
"rec27wXzrFpN43","369334","Squatty Potty","Levanta","Health & Household","Toilet Assistance Steps","家居","卫浴周边","1877","1","B00HSR1B9W"
"rec27wXzrFpNuy","362233","O Positiv","Levanta","Health & Household","Women’s Health","健康家居","女性健康补剂","15920","1","B08C4TJX7F"
"rec27wXzrFpQN7","363298","MaryRuth Organics","Levanta","Health & Household","Children's Vitamins","健康家居","素食补剂","14290","6","B08G7H2J3K"
"rec27wXzrFpRoC","381371","Liforme","Levanta","Sports & Outdoors","Yoga Mats","运动户外","瑜伽用品","","54",""
"rec27wXzrFpTNr","380625","Root Labs","Levanta","Health & Household","Shilajit","健康家居","健康补剂","23480","1","B07P2Q3R4S"
"rec27wXzrFpYBJ","387982","WINPRO PERFORMANCE PRODUCTS","Levanta","Pet Supplies","Dog Supplements","宠物用品","狗狗营养补充剂","","",""
"rec27wXzrFpYWU","362573","Craft Resin","Levanta","Arts, Crafts & Sewing","Craft Supplies","手工","手工材料","","",""
"rec27wXzrFpZ2f","362625","BabbleRoo","Levanta","Baby","Baby Products","母婴","婴儿用品","","",""
"rec27wXzrFpN9n","381027","Embark Vet","Levanta","Pet Supplies","Dog DNA Tests","宠物用品","狗狗 DNA 检测","975","1","B07HHF1VLH"
"rec27wXzrFpQXN","368315","ULTRALOQ","Archer","Tools & Home Improvement","Door Locks","工具与家装","门锁","","",""
"rec27wXzrFpVWg","362350","ROVE","Levanta","Automotive","Car Electronics","汽车用品","车载设备","","","B0D6J5B98H"
"rec27wXzrFpY13","362489","Haggar Clothing","Levanta","Clothing, Shoes & Jewelry","Men's Dress Pants","服饰","男装","697","2","B00WW72KFC"
"rec27wXzrFq0RG","381470","PÜR Minerals","Levanta","Beauty & Personal Care","Mineral Makeup","个护美妆","矿物彩妆","","",""
"rec27wXzrFq2eQ","362477","RingConn Official Store","Levanta","Electronics","Smart Rings","电子","智能健康设备","313","3","B0DG2SJJ7Q"
"rec27wXzrFq2uG","369209","Snap Supplements","Levanta","Health & Household","Health & Household","健康家居","运动营养补剂","13270","13270","B08L7M3N2O"
"rec27wXzrFpKAR","380795","Momcozy Store2","Levanta","Baby","Electric Breast Pumps","母婴","母婴智能护理","267","1","B0CWLHKQNT"